188,1
348,2
414,1
588,2
734,1
894,2
934,1
1134,2
1308,1
1468,2
1521,1
1681,2
1868,1
2041,2
2081,1
2241,2
2468,1
2614,2
2668,1
2828,2
3028,1
3188,2
3228,1
3388,2
3601,1
3761,2
3841,1
4028,2
4241,1
4401,2
4481,1
4668,2
4881,1
5028,2
5134,1
5308,2
5548,1
5708,2
5761,1
5934,2
6134,1
6308,2
6348,1
6534,2
6734,1
6908,2
6948,1
7121,2
7294,1
7481,2
7548,1
7734,2
7908,1
8081,2
8148,1
8334,2
8508,1
8681,2
8734,1
8934,2
