201,1
388,2
481,1
668,2
788,1
988,2
1094,1
1268,2
1361,1
1601,2
1708,1
1894,2
2094,1
2281,2
2374,1
2561,2
2734,1
2934,2
3028,1
3201,2
3294,1
3494,2
3654,1
3868,2
4014,1
4201,2
4348,1
4548,2
4681,1
4894,2
4974,1
5161,2
5334,1
5548,2
5614,1
5814,2
5948,1
6174,2
6214,1
6441,2
6588,1
6801,2
6854,1
7081,2
7241,1
7454,2
7534,1
7721,2
7921,1
8121,2
8161,1
8401,2
8561,1
8774,2
8828,1
9014,2
9201,1
9388,2
9401,1
9601,2
