243,1
535,2
618,1
889,2
1043,1
1328,2
1386,1
1661,2
1786,1
2066,2
2149,1
2398,2
2537,1
2810,2
2880,1
3190,2
3243,1
3525,2
3617,1
3892,2
3990,1
4250,2
4340,1
4640,2
4696,1
5013,2
5075,1
5366,2
5451,1
5710,2
5810,1
6114,2
6192,1
6464,2
6554,1
6845,2
6913,1
7202,2
7274,1
7537,2
7662,1
7908,2
7980,1
8248,2
8347,1
8608,2
8712,1
8973,2
9123,1
9350,2
9474,1
9744,2
9868,1
10105,2
10229,1
10506,2
10639,1
10885,2
10996,1
11217,2
