418,1
700,1
820,2
1145,2
1381,1
1689,2
1929,1
2271,2
2553,1
2909,2
3089,1
3415,2
3623,1
4037,2
4307,1
4646,2
4965,1
5316,2
5433,1
5781,2
6034,1
6379,2
6593,1
6926,2
7146,1
7521,2
7726,1
8054,2
8231,1
8576,2
8736,1
9106,2
9335,1
9694,2
9848,1
10181,2
10389,1
10740,2
10939,1
11284,2
11515,1
11834,2
12131,1
12464,2
12672,1
13020,2
13248,1
13610,2
13814,1
14144,2
14472,1
14780,2
15051,1
15357,2
15508,1
15867,2
16081,1
16408,2
16560,1
16888,2
