468,1
897,2
1031,1
1376,2
1772,1
2164,2
2305,1
2668,2
3002,1
3456,2
3590,1
4004,2
4306,1
4694,2
4814,1
5192,2
5406,1
5854,2
5956,1
6428,2
6689,1
7096,2
7259,1
7662,2
7940,1
8369,2
8590,1
8983,2
9132,1
9567,2
9745,1
10174,2
10370,1
10800,2
10916,1
11348,2
11570,1
11969,2
12125,1
12499,2
12731,1
13136,2
13274,1
13645,2
13837,1
14255,2
14367,1
14756,2
14894,1
15342,2
15462,1
15865,2
15996,1
16417,2
16577,1
16980,2
17100,1
17517,2
17735,1
18127,2
