232,1
607,2
718,1
972,2
1146,1
1449,2
1575,1
1801,2
1964,1
2247,2
2364,1
2611,2
2664,1
2998,2
3103,1
3349,2
3487,1
3791,2
3892,1
4137,2
4284,1
4620,2
4696,1
4926,2
5091,1
5394,2
5482,1
5724,2
5892,1
6179,2
6299,1
6538,2
6678,1
6979,2
7097,1
7343,2
7507,1
7824,2
7888,1
8144,2
8300,1
8598,2
8677,1
8960,2
9083,1
9397,2
9486,1
9735,2
9927,1
10255,2
10315,1
10576,2
10743,1
11027,2
11097,1
11363,2
11516,1
11823,2
11876,1
12157,2
