641,1
948,2
988,1
1214,2
1254,1
1481,2
1521,1
1748,2
1788,1
2014,2
2041,1
2254,2
2374,1
2614,2
2628,1
2841,2
2961,1
3201,2
3228,1
3454,2
3534,1
3788,2
3801,1
4014,2
4121,1
4308,2
4321,1
4534,2
4654,1
4894,2
4921,1
5148,2
5241,1
5481,2
5494,1
5721,2
5814,1
6054,2
6094,1
6268,2
6321,1
6574,2
6588,1
6828,2
6894,1
7148,2
7174,1
7321,2
7428,1
7721,2
7734,1
7948,2
8068,1
8334,2
8348,1
8574,2
8721,1
8974,2
9001,1
9214,2
